gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,66,22797.5366157871,0.0000000000,0.0000000000,1.5028820161,211.3255489354,1574.8406855542,392.1189615809,21.2154238718,0.7982901054,1622.5996183567,824.2806938742,0.6700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,67,23128.6341772168,0.0000000000,0.0000000000,1.4728447475,212.7983936829,1593.6168538629,403.9113562820,21.5235437896,0.8098839855,1644.4599603734,847.2386685963,0.6800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,68,23459.7317386464,0.0000000000,0.0000000000,1.4434078171,214.2418015000,1612.3378770960,415.8784531269,21.8316637074,0.8214778657,1665.9240377142,870.3102778435,0.6900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,69,23790.8293000761,0.0000000000,0.0000000000,1.4145592263,215.6563607262,1631.0047129773,428.0202521154,22.1397836252,0.8330717458,1686.9887311485,893.4856531148,0.7000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,70,24121.9268615058,0.0000000000,0.0000000000,1.3862872162,217.0426479424,1649.6182891705,440.3367532477,22.4479035431,0.8446656260,1707.6513271931,916.7550392144,0.7100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,71,24453.0244229354,0.0000000000,0.0000000000,1.3585802631,218.4012282055,1668.1795046324,452.8279565238,22.7560234609,0.8562595061,1727.9095046133,940.1088002005,0.7200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,72,24784.1219843651,0.0000000000,0.0000000000,1.3314270735,219.7326552791,1686.6892308874,465.4938619435,23.0641433787,0.8678533863,1747.7613211682,963.5374249431,0.7300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,73,25115.2195457947,0.0000000000,0.0000000000,1.3048165797,221.0374718587,1705.1483132282,478.3344695070,23.3722632965,0.8794472664,1767.2052005991,987.0315323036,0.7400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,74,25446.3171072244,0.0000000000,0.0000000000,1.2787379350,222.3162097937,1723.5575718487,491.3497792141,23.6803832144,0.8910411466,1786.2399198626,1010.5818759491,0.7500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,75,25777.4146686541,0.0000000000,0.0000000000,1.2531805097,223.5693903033,1741.9178029140,504.5397910650,23.9885031322,0.9026350267,1804.8645966065,1034.1793488160,0.7600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,76,26108.5122300837,0.0000000000,0.0000000000,1.2281338864,224.7975241898,1760.2297795706,517.9045050597,24.2966230500,0.9142289069,1823.0786768890,1057.8149872326,0.7700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,77,26439.6097915134,0.0000000000,0.0000000000,1.2035878562,226.0011120459,1778.4942529019,531.4439211980,24.6047429678,0.9258227870,1840.8819231399,1081.4799747164,0.7800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,78,26770.7073529430,0.0000000000,0.0000000000,1.1795324138,227.1806444597,1796.7119528323,545.1580394801,24.9128628857,0.9374166672,1858.2744023640,1105.1656454538,0.7900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,79,27101.8049143727,0.0000000000,0.0000000000,1.1559577541,228.3366022138,1814.8835889833,559.0468599059,25.2209828035,0.9490105473,1875.2564745843,1128.8634874785,0.8000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,80,27432.9024758023,0.0000000000,0.0000000000,1.1328542682,229.4694564820,1833.0098514849,573.1103824754,25.5291027213,0.9606044275,1891.8287815253,1152.5651455555,0.8100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,81,27764.0000372320,0.0000000000,0.0000000000,1.1102125387,230.5796690207,1851.0914117442,587.3486071886,25.8372226391,0.9721983076,1907.9922355342,1176.2624237848,0.8200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,82,28095.0975986617,0.0000000000,0.0000000000,1.0880233370,231.6676923577,1869.1289231759,601.7615340456,26.1453425569,0.9837921878,1923.7480087389,1199.9472879347,0.8300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,83,28426.1951600913,0.0000000000,0.0000000000,1.0662776185,232.7339699762,1887.1230218948,616.3491630462,26.4534624748,0.9953860679,1939.0975224413,1223.6118675141,0.8400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,84,28757.2927215210,0.0000000000,0.0000000000,1.0449665196,233.7789364958,1905.0743273741,631.1114941906,26.7615823926,1.0069799481,1954.0424367448,1247.2484575957,0.8500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
